ID,Title,Author,Theme,Difficulty,ClearRate,Stars,PlayersPlayed,Clears,RoundsPlayed,Flag,Tag,Link
AFC1-0000-03D1-70E3,Boo-mansion,»TP«,sw,Expert,12.77%,40,64,24,188,DE,---,https://supermariomakerbookmark.nintendo.net/courses/AFC1-0000-03D1-70E3
C1F3-0000-03C4-6BF2,Poltergeist Mansion,sjosund,sw,Expert,2.01%,10,16,8,399,SE,---,https://supermariomakerbookmark.nintendo.net/courses/C1F3-0000-03C4-6BF2
7254-0000-03E6-A832,Casual Kaizo,SR|Dan,sw,Expert,1.58%,48,100,53,3345,CA,---,https://supermariomakerbookmark.nintendo.net/courses/7254-0000-03E6-A832
3631-0000-03E0-84E9,Boo Buddy Bustle,Forrest,sw,Expert,6.15%,38,64,38,618,US,Traditional,https://supermariomakerbookmark.nintendo.net/courses/3631-0000-03E0-84E9
3398-0000-03D9-C173,Dry Aona fusionE,Dev,sw,Super Expert,1.00%,33,57,10,1003,US,---,https://supermariomakerbookmark.nintendo.net/courses/3398-0000-03D9-C173
E76F-0000-03EC-8006,メダ.ル10枚目あリがとう! / Thanks for 5K!,mоlteи,sw,Easy,62.77%,34,60,59,94,JP,---,https://supermariomakerbookmark.nintendo.net/courses/E76F-0000-03EC-8006
2CDA-0000-03E8-256D,Teddybear,Noah,sw,Super Expert,0.61%,42,77,7,1147,JP,---,https://supermariomakerbookmark.nintendo.net/courses/2CDA-0000-03E8-256D
1EC8-0000-03E3-9785,I&#39;m sorry Druid sent you this...,SR|Dan²,sw,Normal,24.71%,21,40,21,85,CA,---,https://supermariomakerbookmark.nintendo.net/courses/1EC8-0000-03E3-9785
BCD6-0000-03EB-F68A,Test Capa 100% Clear #teammaker, ←«Aлğеl»→,sw,Expert,0.87%,8,24,11,1266,CL,---,https://supermariomakerbookmark.nintendo.net/courses/BCD6-0000-03EB-F68A
FA78-0000-03EB-5FB8,Remake or Recreate,nick,sw,Easy,59.26%,8,17,16,27,AU,---,https://supermariomakerbookmark.nintendo.net/courses/FA78-0000-03EB-5FB8
ED06-0000-03E4-F440,muere yoshi!!!!!,patan,sw,Expert,2.04%,8,18,9,441,AR,---,https://supermariomakerbookmark.nintendo.net/courses/ED06-0000-03E4-F440
2E89-0000-03D4-473E,なんか　謎解きみたいなのを作りたかっただけ     わりと簡単,ナオヤ,sw,Normal,7.69%,8,13,5,65,JP,---,https://supermariomakerbookmark.nintendo.net/courses/2E89-0000-03D4-473E
44C8-0000-03EA-0B60,↑↑↓↓←→←→BABA,CN.MS,sw,Expert,4.65%,11,18,2,43,US,---,https://supermariomakerbookmark.nintendo.net/courses/44C8-0000-03EA-0B60
FCDB-0000-03E9-7110,Thwomp Disaster,Filletus,sw,Super Expert,1.47%,11,18,9,613,CZ,---,https://supermariomakerbookmark.nintendo.net/courses/FCDB-0000-03E9-7110
68D4-0000-03E3-28B6,#TeamJaimeJaime,MuLLTY,sw,Super Expert,0.72%,22,41,16,2237,US,---,https://supermariomakerbookmark.nintendo.net/courses/68D4-0000-03E3-28B6
D338-0000-03E1-99D8,~FCR~ Vertical Hypu,Loe,sw,Super Expert,2.02%,22,38,18,889,BE,---,https://supermariomakerbookmark.nintendo.net/courses/D338-0000-03E1-99D8
1E78-0000-03DA-EBC7,Stones throw home ,Dev,sw,Super Expert,0.77%,33,65,15,1942,US,---,https://supermariomakerbookmark.nintendo.net/courses/1E78-0000-03DA-EBC7
02A5-0000-03C9-3667,ghost house spikes.,tEmMaH,sw,Super Expert,1.40%,22,38,18,1283,CA,---,https://supermariomakerbookmark.nintendo.net/courses/02A5-0000-03C9-3667
2FDB-0000-03E6-C90D,『チカっとチカ千花っ♡』 かぐや様は告らせたい BGM♪RUN！,ゆきぃ/yukyi2,sw,Easy,44.23%,50,94,92,208,JP,---,https://supermariomakerbookmark.nintendo.net/courses/2FDB-0000-03E6-C90D
C1E1-0000-03E7-76A0,One Trick lll,eldelgorro,sw,Expert,2.51%,14,37,17,676,ES,---,https://supermariomakerbookmark.nintendo.net/courses/C1E1-0000-03E7-76A0
3ED5-0000-03E2-B99E,TrOWLGLASS Me Maybe.,Hefe San,sw,Expert,1.08%,14,32,12,1108,DE,---,https://supermariomakerbookmark.nintendo.net/courses/3ED5-0000-03E2-B99E
A093-0000-03DF-F784,♥Jenn&#39;s 6 Spicy Mids♥ FOGZ,Jay⇔Kaizo2,sw,Normal,25.00%,28,47,28,112,US,---,https://supermariomakerbookmark.nintendo.net/courses/A093-0000-03DF-F784
C8F1-0000-03E8-2FFE,●Bumpers Bump Skip=× [20] ●,SMM2Bizzle,sbu,Expert,9.52%,13,19,6,63,DE,---,https://supermariomakerbookmark.nintendo.net/courses/C8F1-0000-03E8-2FFE
0D03-0000-03EB-DBB0,Ez ver 2,CN.MS,sbu,Super Expert,0.64%,10,15,1,157,US,---,https://supermariomakerbookmark.nintendo.net/courses/0D03-0000-03EB-DBB0
E63E-0000-03EB-9693,Speedrun 30 sec,lukas,sbu,Normal,23.15%,16,29,25,108,DE,---,https://supermariomakerbookmark.nintendo.net/courses/E63E-0000-03EB-9693
DAB3-0000-03E7-7513,Zeeporan the Twoth,meef,sbu,Expert,6.93%,14,25,19,274,DE,---,https://supermariomakerbookmark.nintendo.net/courses/DAB3-0000-03E7-7513
5EBC-0000-03CA-A847,Spooky Spike Jump,Yoshi-Boy♪,sbu,Expert,2.34%,8,12,5,214,DE,---,https://supermariomakerbookmark.nintendo.net/courses/5EBC-0000-03CA-A847
83BC-0000-03E1-0410,クラウン大迷宮19 ,サブ　りょんりょん,sbu,Easy,50.00%,29,47,29,58,JP,---,https://supermariomakerbookmark.nintendo.net/courses/83BC-0000-03E1-0410
6841-0000-03DC-EE1D,テレサ無双！WiiU版,spw-02,sbu,Expert,4.29%,32,56,10,233,JP,---,https://supermariomakerbookmark.nintendo.net/courses/6841-0000-03DC-EE1D
7404-0000-03E0-B63D,これだけ9~どくろ,N.T,sbu,Expert,2.33%,24,39,15,645,JP,---,https://supermariomakerbookmark.nintendo.net/courses/7404-0000-03E0-B63D
5B13-0000-03E5-22ED,Throw Hole2(10s),CN.LlZI,sbu,Super Expert,0.24%,11,21,3,1255,JP,---,https://supermariomakerbookmark.nintendo.net/courses/5B13-0000-03E5-22ED
1CA8-0000-03D7-E74E,POW持ち壁キック　10,Rei,sbu,Expert,1.28%,22,34,2,156,JP,---,https://supermariomakerbookmark.nintendo.net/courses/1CA8-0000-03D7-E74E
8C33-0000-03EA-DF40,Don&#39;t eat anything  Challenge,romppu,sbu,Expert,6.11%,9,14,8,131,FI,---,https://supermariomakerbookmark.nintendo.net/courses/8C33-0000-03EA-DF40
8C56-0000-03EC-B01F,よね津玄師「 海の幽霊 」 Kenshi Yonedsu,mоlteи,sbu,Easy,71.62%,35,59,53,74,JP,---,https://supermariomakerbookmark.nintendo.net/courses/8C56-0000-03EC-B01F
FE7A-0000-03E7-5289,I will never find she ùú NEVER!!,♪☆Daisy☆♪,sbu,Super Expert,0.48%,19,32,1,209,MX,---,https://supermariomakerbookmark.nintendo.net/courses/FE7A-0000-03E7-5289
CDB5-0000-03EC-2662,Ghost Alarm ! (50 sec.),Biene,sbu,Normal,19.44%,12,23,14,72,DE,---,https://supermariomakerbookmark.nintendo.net/courses/CDB5-0000-03EC-2662
A13A-0000-03DD-22AA,Melas nightmare,[ks]Hail,sbu,Expert,2.51%,22,36,24,955,SE,---,https://supermariomakerbookmark.nintendo.net/courses/A13A-0000-03DD-22AA
130B-0000-03EA-40BA,Hotaru&#39;s challenge ,S.Pluto,sbu,Super Expert,0.82%,10,18,1,122,FR,---,https://supermariomakerbookmark.nintendo.net/courses/130B-0000-03EA-40BA
D378-0000-03E8-26D5,20BYOUTHARENZINANIDOTHOIMUZU!!!!,こう,sbu,Easy,50.00%,10,18,16,32,JP,---,https://supermariomakerbookmark.nintendo.net/courses/D378-0000-03E8-26D5
366E-0000-03E5-CF89,Hikaru`s shorthard speed run #1,ひっかー,sbu,Super Expert,1.18%,20,34,8,680,JP,---,https://supermariomakerbookmark.nintendo.net/courses/366E-0000-03E5-CF89
F94E-0000-03EA-904D,ベストタイムを狙え,だいちぃ,sbu,Normal,23.33%,33,55,28,120,JP,---,https://supermariomakerbookmark.nintendo.net/courses/F94E-0000-03EA-904D
D7EA-0000-03E8-9A76,SMM2は受験終わったら買おうかな,Zone_ゆうすけ,sbu,Super Expert,2.50%,13,21,7,280,JP,---,https://supermariomakerbookmark.nintendo.net/courses/D7EA-0000-03E8-9A76
A215-0000-03E6-928A,Don&#39;t Bully My Lansa TASx5,SR|Dan,sbu,Super Expert,0.29%,13,33,5,1735,CA,---,https://supermariomakerbookmark.nintendo.net/courses/A215-0000-03E6-928A
A58B-0000-03DD-71A3,スピラン系！(30sTA),spw-02,sbu,Expert,12.44%,47,80,52,418,JP,---,https://supermariomakerbookmark.nintendo.net/courses/A58B-0000-03DD-71A3
6460-0000-03EA-E657,Аэпσløgîa,robraf21,sbu,Super Expert,0.13%,8,14,1,772,DE,---,https://supermariomakerbookmark.nintendo.net/courses/6460-0000-03EA-E657
C6F1-0000-03E8-5EF6,20BYOUTHARENZINANIDOTHOIMUZU2!!!,こう,sbu,Normal,9.47%,8,14,9,95,JP,---,https://supermariomakerbookmark.nintendo.net/courses/C6F1-0000-03E8-5EF6
6F0D-0000-03E6-1AFE,Skull &amp; Bones Soup ,Doppeleins,sbu,Super Expert,0.28%,8,15,1,362,CH,---,https://supermariomakerbookmark.nintendo.net/courses/6F0D-0000-03E6-1AFE
135F-0000-03E5-866A,柊さんのやーつ　8面,MKS&amp;D3よこぼー,sbu,Expert,4.22%,8,17,7,166,JP,---,https://supermariomakerbookmark.nintendo.net/courses/135F-0000-03E5-866A
B772-0000-03E5-DFD0,Just one,CN.LlZI,sbu,Expert,1.73%,19,33,7,404,JP,---,https://supermariomakerbookmark.nintendo.net/courses/B772-0000-03E5-DFD0
A5E1-0000-03E7-9821,Hey There&#39;s a Spoop in My Soup!,Colo(u)r,sbu,Super Expert,0.21%,22,64,9,4215,US,---,https://supermariomakerbookmark.nintendo.net/courses/A5E1-0000-03E7-9821
EFAF-0000-03E6-5072,Triggering The Execution,SaveMe,sbu,Super Expert,0.79%,22,46,16,2024,US,---,https://supermariomakerbookmark.nintendo.net/courses/EFAF-0000-03E6-5072
9DB8-0000-03E9-F322,Where&#39;s the Key?,A.J.,sbu,Easy,65.79%,17,28,25,38,US,---,https://supermariomakerbookmark.nintendo.net/courses/9DB8-0000-03E9-F322
CE95-0000-03E5-9D6E,THX ♥SMM1♥ LETS START ♥SMM2♥|A+↑,philippo,sbu,Easy,45.33%,26,45,34,75,DE,Thumbnail,https://supermariomakerbookmark.nintendo.net/courses/CE95-0000-03E5-9D6E
8027-0000-03EB-5C6A,蟲贔轟矗聶磊晶犇毳　錣畷啜綴輟　个　匚从勹夊　夕　橇毳壘　气氣网,★けーた2ごう★,sbu,Easy,52.94%,30,57,54,102,JP,---,https://supermariomakerbookmark.nintendo.net/courses/8027-0000-03EB-5C6A
